,0
0,Arizona
1,Arkansas
2,Colorado
3,Georgia
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,Oklahoma
21,Pennsylvania
22,Tennessee
23,Utah
24,Vermont
